#OTU ID	MMBC001	MMBC002	MMBC003	MMBC004	MMBC005	MMBC006	MMBC007	MMBC008	MMBC009	MMBC010	MMBC011	MMBC012	MMBC013	MMBC014	MMBC015	MMBC016	MMBC017	MMBC018	MMBC019	MMBC020	MMBC021	MMBC022	MMBC023	MMBC024	MMBC025	MMBC026	MMBC027	MMBC028	MMBC029	MMBC030	MMBC031	MMBC032	MMBC033	MMBC034	MMBC035	MMBC036	MMBC037	MMBC038	MMBC039	MMBC040	MMBC041	MMBC042	MMBC043	MMBC044	MMBC045	MMBC046	MMBC047	MMBC048	MMBC049	MMBC050	MMBC051	MMBC052	MMBC053	MMBC054	MMBC055	MMBC056	MMBC057	MMBC058	MMBC059	MMBC060	MMBC061	MMBC062	MMBC063	MMBC064	MMBC065	MMBC066	MMBC067	MMBC068	MMBC069	MMBC070	MMBC071	MMBC072	MMBC073	MMBC074	MMBC075	MMBC076	MMBC077	MMBC078	MMBC079	MMBC080	MMBC081	MMBC082	MMBC083	MMBC084	MMBC085	MMBC086	MMBC087	MMBC088	MMBC089	MMBC090	MMBC091	MMBC092	MMBC093	MMBC094	MMBC095	MMBC096	MMBC097	MMBC098	MMBC099	MMBC100	MMBC101	MMBC102	MMBC103	MMBC104	MMBC105	MMBC106	MMBC107	MMBC108	MMBC109	MMBC110	MMBC111	MMBC112	MMBC113	MMBC114	MMBC115	MMBC116	MMBC117	MMBC118	MMBC119	MMBC120	MMBC121	MMBC122	MMBC123	MMBC124	MMBC125	MMBC126	MMBC127	MMBC128	MMBC129	MMBC130	MMBC131	MMBC132	MMBC133	MMBC134	MMBC135	MMBC136	MMBC137	MMBC138	MMBC139	MMBC140	MMBC141	MMBC142	MMBC143	MMBC144	MMBC145	MMBC146	MMBC147	MMBC148	MMBC149	MMBC150	MMBC151	MMBC152	MMBC153	MMBC154	MMBC155	MMBC156	MMBC157	MMBC158	MMBC159	MMBC160	MMBC161	MMBC162	MMBC163	MMBC164	MMBC165	MMBC166	MMBC167	MMBC168	MMBC169	MMBC170	MMBC171	MMBC172	MMBC173	MMBC174	MMBC175	MMBC176	MMBC177	MMBC178	MMBC179	MMBC180	MMBC181	MMBC182	MMBC183	MMBC184	MMBC185	MMBC186	MMBC187	MMBC188	MMBC189	MMBC190	MMBC191	MMBC192	MMBC193	MMBC194	MMBC195	MMBC196	MMBC197	MMBC198	MMBC199	MMBC200	MMBC201	MMBC202	MMBC203	MMBC204	MMBC205	MMBC206	MMBC207	MMBC208	MMBC209	MMBC210	MMBC211	MMBC212	MMBC213	MMBC214	MMBC215	MMBC216	MMBC217	MMBC218	MMBC219	MMBC220	MMBC221	MMBC222	MMBC223	MMBC224	MMBC225	MMBC226	MMBC227	MMBC228	MMBC229	MMBC230	MMBC231	MMBC232	MMBC233	MMBC234	MMBC235	MMBC236	MMBC237	MMBC238	MMBC239	MMBC240	MMBC241	MMBC242	MMBC243	MMBC244	MMBC245	MMBC246	MMBC247	MMBC248	MMBC249	MMBC250	MMBC251	MMBC252	MMBC253	MMBC254	MMBC255	MMBC256	MMBC257	MMBC258	MMBC259	MMBC260	MMBC261	MMBC262	MMBC263	MMBC264	MMBC265	MMBC266	MMBC267	MMBC268	MMBC269	MMBC270	MMBC271	MMBC272	MMBC273	MMBC274	MMBC275	MMBC276	MMBC277	MMBC278	MMBC279	MMBC280	MMBC281	MMBC282	MMBC283	MMBC284	MMBC285	MMBC286	MMBC287	MMBC288	MMBC289	MMBC290	MMBC291	MMBC292	MMBC293	MMBC294	MMBC295	MMBC296	MMBC297	MMBC298	MMBC299	MMBC300	MMBC301	MMBC302	MMBC303	MMBC304	MMBC305	MMBC306	MMBC307	MMBC308	MMBC309	MMBC310	MMBC311	MMBC312	MMBC313	MMBC314	MMBC315	MMBC316	MMBC317	MMBC318	MMBC319	MMBC320	MMBC321	MMBC322	MMBC323	MMBC324	MMBC325	MMBC326	MMBC327	MMBC328	MMBC329	MMBC330	MMBC331	MMBC332	MMBC333	MMBC334	MMBC335	MMBC336	MMBC337	MMBC338	MMBC339	MMBC340	MMBC341	MMBC342	MMBC343	MMBC344	MMBC345	MMBC346	MMBC347	MMBC348	MMBC349	MMBC350	MMBC351	MMBC352	MMBC353	MMBC354	MMBC355	MMBC356	MMBC357	MMBC358	MMBC360	MMBC361	MMBC362	MMBC363	MMBC364	MMBC365	MMBC366	MMBC367	MMBC368	MMBC369	MMBC370	MMBC371	MMBC372	MMBC373	MMBC374	MMBC375	MMBC376	MMBC377	MMBC378	MMBC379	MMBC380	MMBC381
ASV1	773	0	0	524	4047	221	0	144	0	0	506	0	12529	51	0	546	8773	10153	0	415	0	1594	140	0	466	0	1003	294	1309	17198	21508	1390	0	0	197	1018	71	238	2765	0	64	26620	414	164	670	66	140	128	127	142	60	84	91	91	810	98	0	70	113	0	66	48	0	24	0	0	46	0	66	105	74	75	76	0	35	45	0	0	6627	336	191	3384	968	2212	3567	12136	307	3821	525	1736	870	647	115	0	69	554	2170	15607	6077	33356	1795	25881	346	0	248	13290	0	1248	17175	16337	15717	0	27	4932	3237	3774	21316	10137	11669	13538	17339	139	1520	20141	6603	2258	8898	360	3694	7031	33014	5670	3702	2653	11946	2972	23769	4031	204	6267	4707	15934	3238	6670	11312	10174	22236	20381	1659	5535	57	52242	225	406	3958	4143	0	1349	3235	9973	11553	10140	146	7589	0	5404	1409	5787	4065	27268	21526	9606	1046	20478	250	0	238	0	0	756	0	712	66	279	4572	370	260	3999	1345	3305	337	3523	0	18150	0	2037	778	428	446	274	0	265	106	1630	0	559	990	0	481	373	0	2893	0	0	3558	10107	4876	108	0	129	290	181	671	236	0	0	77	533	1937	0	3433	678	2046	20248	28998	0	9510	3739	19669	19573	14070	13844	2625	5040	6745	21718	12265	32231	4151	514	1311	396	0	8026	0	0	404	0	7299	6017	29240	23830	148	389	3323	4809	2895	0	306	1046	7466	547	168	14038	33087	0	2365	4404	241	4444	578	4377	3261	2998	29469	2592	9760	6695	0	0	661	12164	0	0	0	1017	285	503	0	0	1438	0	4385	0	4038	2424	2197	1668	1322	850	95	3575	2090	158	3303	12837	6318	0	2382	305	4327	0	408	4228	0	0	11155	11780	0	2584	3302	0	28141	2634	195	14125	4891	0	0	0	729	5799	7714	3640	650	0	57	0	1190	0	0	755	6318	3955	0	1203	0	1279	1766	3995	0	19682	3847	121	0	4874	0	25939	9072	3827	4556	0	31	9450	104	5778	12442	1647	37758	4156
ASV2	14858	25504	364	23195	2581	4141	20001	1706	807	44	28	25	22	54	34	17	63	58	435	61	1316	38	51	5620	300	475	44	283	32	660	45	54	309	2444	75	61	171	13626	19707	31576	22162	4052	24423	7156	10864	5837	1311	29281	25904	13963	2894	20758	49	0	0	0	53	0	21	13	14	36	0	0	0	61	52	0	32	35	554	47	84	0	0	45	34	6699	13788	19622	35839	39886	58	29	38	59	28915	88	30667	109	39342	31683	24604	75	34117	36731	14256	80	51	0	49	3773	74	52	51	44	39	0	20	34	72	28	77	58	50	25	32	54	0	12918	55	62	42	0	321	39	57	21724	64	57	33	178	29	51	57	35	336	117	27425	40	59	79	65	66	86	79	50	43	47	53	68	51	55	51	0	25	25	37	40	29	86	76	53	31	33	34	72	51	63	57	46	34	37	364	25511	19811	35500	27054	24790	47	18477	17641	23810	7274	16448	4062	21301	32299	14454	28746	25627	19647	3608	414	8152	40	0	2248	9149	25	12	0	2599	0	0	0	13	0	0	17	0	0	0	0	18	0	25	0	11	0	0	20	32182	9085	27606	21821	27569	10757	208	32679	0	18	32	19	24	0	0	34	38	0	24	21	29	0	0	33	59	0	13	0	0	0	0	0	0	0	11	4756	0	0	0	0	30	0	30194	64	18	0	0	13	44	0	29	18	24	8	39	30	0	417	25	32	37	0	10	61	0	33	815	15	18	0	0	118	150	0	25	0	22	240	0	17	0	0	30	7	17	0	0	15	0	0	22	11	13	0	0	18	38	0	16	0	11	0	0	46	33	0	34	0	23	1604	33	394	26571	29	9827	614	28	0	0	0	4999	0	254	17	12799	0	61	14	0	0	32	376	275	173	0	16	0	214	21	26	0	136	13	42	0	35	28	29	0	4	45	0	14	22	0	22	8	0
ASV3	0	2296	672	0	0	1894	2531	156	0	0	0	161	320	0	0	0	3082	0	0	13076	0	0	3514	0	0	7976	0	13776	0	0	738	3633	10227	281	0	0	236	1990	131	109	0	1727	96	85	0	0	360	0	96	0	0	0	0	0	0	0	23	0	0	0	0	0	0	24	110	0	0	0	0	0	0	0	0	0	0	37	62	19607	3527	3875	277	1271	1249	0	0	0	719	0	4106	0	0	227	4711	1411	0	445	921	1578	0	389	0	1927	0	2381	139	765	6854	7366	451	564	3786	161	0	14459	9226	0	4682	5738	1774	0	617	3687	986	8045	814	5404	1134	2994	7438	4931	0	141	761	0	3442	781	0	1848	283	16841	5503	7561	0	324	15121	0	0	0	0	3392	0	624	54	0	74	0	239	0	661	0	1923	5416	101	0	601	6683	0	0	13875	0	0	6640	8357	3448	0	4949	88	194	5339	8074	924	4082	0	7722	4160	18538	6798	608	2406	3388	0	19277	12003	7136	19557	8835	8555	0	101	0	0	0	227	0	0	5343	0	8215	831	0	4031	0	14171	104	0	216	0	0	0	179	0	0	0	184	1376	1037	185	10679	2990	0	516	5036	0	0	0	2284	0	4513	0	1111	0	0	143	0	21253	370	4114	0	117	572	0	3405	391	924	17982	13650	3204	18060	3384	438	0	0	104	152	0	0	73	11084	0	0	0	12910	5064	0	0	253	0	0	0	2081	12830	1048	0	21771	4278	0	287	649	14141	4732	451	0	0	0	0	14602	0	0	0	6742	0	2053	2586	0	21259	0	0	0	0	1035	0	0	5642	0	0	3330	1184	88	0	6103	0	0	737	19237	4199	30457	311	335	0	0	1545	0	0	22456	261	251	0	2245	6193	1533	0	890	0	10370	0	22062	182	6073	3411	154	5516	0	0	0	11423	0	0	7603	0	18166	5316	9828	0	4078	1899	0	0	258	0	0	0	0	0	130	485	17566	1578	0	0	0
ASV4	94	21	30	27	76	473	2658	15	0	0	16	19	9	0	396	0	101	0	0	12	0	0	8370	0	0	182	0	0	0	0	41	0	16	520	0	24	29	283	777	615	43	0	4727	2916	965	2680	2810	142	137	27117	11287	1643	23839	17890	12007	22314	16653	1211	14797	11456	12105	14014	11671	24529	6149	21	31951	11827	21949	34162	26099	32816	33811	15943	43742	36804	18392	28	14	26	0	0	88	21	16	18	0	12	13	13	15	23	27	19	22	14	14	0	25	548	13	18	15	19	17	7	19	6575	11	15	13	0	0	4	27	52	17	19	20	9	13	4	16	23	2848	16	0	73	8	0	122	18	0	0	14	0	6540	0	10761	19	125	21	17	24	10	19	17	62	16	526	0	10	408	0	22	22	15	12	0	0	18	7	25	7851	1455	18	17	0	18	0	245	25	18	27	9	14	13	31	16	20	0	0	0	951	15	0	1114	22	0	0	0	16	10	10	19	5	0	6	13	11	11185	6065	0	39	10599	0	13322	0	5042	14386	4718	16	18	37	2829	15729	2730	1203	524	5	511	6203	0	0	0	0	0	0	3435	0	1347	0	0	0	0	0	0	0	11	9	20	17	0	0	32	41	26	154	0	10	0	0	14	35	4	6	16	12	0	0	21	197	14	186	19	437	0	6	811	26	15	11	10	10	16	0	0	0	12065	0	0	0	92	0	968	446	6316	87	8	13	0	0	540	0	9	0	0	0	0	4	0	84	0	8256	0	51	0	0	2220	126	0	11	66	8	0	0	12	392	0	0	0	0	115	3	8	5	9	7	0	17	21	1336	981	747	5161	31	3700	6476	7	0	14	294	1090	1676	32	9	1363	59	4629	226	0	0	22	15	122	14364	13	10	32	0	27	38	22197	1061	0	25	13	0	0	0	0	3928	9	6	0	12	11	4130	12	142
ASV5	8547	18	14677	319	5882	9815	496	26436	0	1979	783	1793	0	6343	2884	3567	1378	20	6609	0	2606	6176	8	32779	1128	3178	6779	106	65	12304	7	10271	272	9909	7891	1553	20453	11742	66	504	652	60	120	0	0	25060	24927	78	205	982	7761	535	0	26	6	8359	352	17653	9	0	0	20	4656	19	544	3456	24	587	0	25	1083	0	794	17	255	43	0	30	5	18	21	15	17	0	0	42	15	27	18	18	37	0	0	36	23	44	0	0	12	0	1153	30	0	36	7	17	0	4	107	19	61	27	12	22	23	7	0	190	11	27	15	38	15	0	0	42	16	37	12	0	25	13	0	59	8	48	0	17	19	0	0	32	17	589	9	20	25	0	0	35	0	22	0	0	0	0	0	0	7	0	234	24	0	0	9	22	0	33	0	0	27	0	0	46	6	27	14	16	21	0	0	26	8	21	12	18	12	0	0	32	11	19	21	37	0	21	26	43	21	14	0	13	30	13	19	27	14	12	26	18	24	20	15	38	19	26	15	25	42	0	15	34	23	19	13	33	35	17	19	71	21	0	0	19	25	0	28	37	25	22	0	33	2535	18	103	51	0	0	0	19	0	0	21	34	12	0	0	22	0	0	28	0	0	0	8	0	0	0	0	31	0	0	0	17	0	20	19999	12833	3926	1290	1174	27499	34045	2275	267	9724	352	4471	12062	28	16165	141	1547	742	87	1982	6	21	14	6487	109	5172	346	7726	20	7892	7773	9481	316	18678	5758	1197	13748	90	41	1815	125	31467	8446	184	31	11059	4455	11	0	1596	20	3532	4979	2872	46	8912	3212	1506	111	4638	900	1764	4417	21	18	9311	4158	24	5094	27	597	25	6685	4023	12582	25	5545	30	0	1961	29	3159	948	3314	2641	36	5	5258	115	43	11044	590	0	3498	0	11333	31	18	0	0	0	35	9	19
ASV6	1004	92	0	0	7	14	0	18	19	0	0	0	0	14215	9	25	15	0	0	2158	0	12	0	336	15453	0	0	11	0	0	0	48	11723	15	7	0	0	11	0	16	10	0	0	0	0	13	3	23	14	0	0	16	0	12	0	21	0	4	7	0	0	8	0	0	11	0	0	0	12	14	0	21	0	0	0	0	0	0	0	19	0	17	2574	15949	0	12	0	28	21	0	0	0	0	0	0	20	16	995	0	0	29	16	31	25155	0	42	0	0	15	0	0	21	15695	9206	4628	9	0	3819	1151	27	517	0	3677	0	0	20242	22	17	2001	4267	0	0	62	0	22	25818	1349	569	0	0	0	8080	28838	1830	17	110	0	0	0	9	88	20	9	0	0	0	0	0	0	43	15	0	22	0	0	9	0	20	1100	17	0	3289	0	14	9	26	13	0	0	8	0	0	0	15	25	0	0	0	188	14	0	19	0	13	0	30	0	19	0	14	13	0	0	13	0	0	0	9	0	15	8	22	0	11	0	0	3	0	0	23	0	21	0	9	0	16	0	25	462	16	0	5182	17	0	0	25419	52	1026	0	0	0	13	4083	24	1758	29	23	117	6	12609	0	14620	0	21	13	12	27158	0	0	36	0	11	0	7	12	12	22	2279	0	17	0	18	13	17	32	22035	1189	27	471	16829	18	35	16	43	2017	24	0	25	0	12428	8	55	13	19	0	5467	0	11	0	26	0	13960	1230	12	0	510	0	22	5032	7173	5742	20447	710	18908	0	2218	0	21	0	17	11	748	0	211	0	21	0	0	0	22	21807	87	4539	24	0	18	13	10	0	21623	0	7810	236	164	0	358	0	13	0	12	0	15	13071	0	0	25	10	32	27	40	12261	42	23	25070	27440	0	18	8	0	0	25	0	20	0	10	8617	444	0	48	0
ASV7	1439	25	0	0	0	0	31	29	0	0	0	0	0	57	26	0	0	0	0	0	325	0	6619	0	29	237	0	0	0	0	0	0	0	60	11	0	58	0	51	0	0	0	0	0	6479	0	32	0	0	31	0	0	0	0	21	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30820	28	0	0	181	0	0	0	0	15940	0	0	0	0	10436	0	392	19607	0	0	0	0	0	19539	2704	0	23077	0	3528	556	222	6870	15430	6464	676	0	0	11670	0	0	3346	0	0	0	0	13682	213	0	25376	0	0	10703	2868	4977	3701	0	0	0	0	6373	19910	35047	0	0	0	2208	0	163	261	18	0	0	0	36801	0	0	0	2453	8523	0	0	0	0	8858	22	0	0	0	0	0	37	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	4949	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	11	13340	0	0	0	0	69	0	0	2919	4459	2034	208	0	0	445	2426	334	0	1458	55	0	474	36	12566	0	9602	960	13773	1741	1643	0	450	998	586	0	2118	0	0	0	0	4783	0	8	2764	2501	0	0	0	0	1759	0	0	280	0	0	0	0	0	9341	0	0	0	25	0	0	0	0	0	0	0	39	22	0	1278	1527	0	1042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9184	0	0	14635	0	6794	0	11	0	0	0	0	123	0	8677	0	0	0	0	5267	594	0	0	0	11098	481	0	0	161	0	0	0	0	0	0	21072	4069	0	360	0	0	0	228	230	0	0	0	0	0	171	214	0	3236	0	0	0	0	0	0	0	193	0	0	0	0	488
ASV8	0	21	10	0	6537	0	8	0	0	70	0	0	0	0	6	5	298	37	15	8	18	9	0	6	14	23	7	0	102	6	10	0	0	17	67	0	13	0	0	0	2620	17	131	0	0	0	8	0	43	21	8	0	1798	0	38	0	0	13	82	0	0	0	0	0	0	7750	14	0	20	0	1018	31	0	52	3563	0	9541	0	0	0	0	19	9136	5698	10000	15385	0	0	0	21	0	0	0	0	0	0	0	0	12	9	11	0	14	0	520	13	0	0	0	0	868	0	4	13	11	3	0	0	0	12	0	266	8072	9	11968	0	10	0	0	11	822	0	10	0	0	0	0	33	0	0	0	0	8	0	20	22394	9785	654	7	6	9	19	14169	20425	10	0	11	0	19098	0	8	27	14	0	2052	2802	13	0	148	46	1465	0	5	0	0	0	7	10	13	0	7	0	0	0	0	20	0	0	7	6	0	0	16	21	21	11	15	14	11	17816	11982	6242	17	14885	11197	14	8827	3	17528	15594	19140	13577	11678	25254	15348	8912	13244	19677	20565	8	21997	11131	0	5	0	22	10	0	32	7	5	12	11	16	18	0	17	6	0	10	17	18	23	13	25	10	8	12	8	8	15	8	14	0	0	3	18	21	19	10789	21	10	0	11	15	17	11	10	19	24	637	11	18	22	30	11	22	19	0	16	19	35	33	8	20	15	5	7	15	20	20	6	21	18	5	16	15	9	19	10	21	5	0	1079	15	19	29	0	19	11	0	8	21	21	14	1394	16	13	350	17	0	27	329	9	15	0	0	10	16	27	22	7	25	11	382	11	281	19	22	921	16	12	8	496	331	16	2531	67	29	19	0	9	27	21	18	14	21	541	0	0	20	16	0	18	5	17	12	20	13	75	0	13	7	0	12	14	16	25792	28	4347
ASV9	327	0	2417	0	0	631	0	0	4456	0	2135	0	3533	0	0	65	0	0	12129	5923	52	1008	5094	10314	0	1080	1713	0	88	0	2690	0	0	321	0	42	235	0	354	0	36	0	0	0	0	77	0	0	192	0	232	0	38	48	0	0	0	0	267	612	31	0	1088	0	0	16058	0	0	2614	1567	0	0	0	0	0	0	342	0	0	0	107	0	3673	804	3172	35	0	508	0	409	103	128	0	395	4108	0	11068	1283	6413	0	27720	2407	43926	0	12395	97	0	0	2318	0	0	0	0	0	0	632	0	316	5577	9427	1837	0	173	0	0	265	668	507	1298	323	59	0	1150	27917	708	0	1974	520	152	4336	3835	12645	88	1153	0	93	0	0	411	0	0	0	0	67	590	0	576	3026	0	103	2541	0	0	8054	0	0	0	137	1706	0	0	0	0	0	426	2283	0	0	0	157	1524	142	0	0	427	0	453	0	1825	0	173	1748	8747	0	0	324	0	0	208	0	53	777	0	1565	66	5590	0	0	0	0	0	0	0	626	0	0	0	40	0	2039	0	0	0	0	0	0	0	0	332	151	293	11937	341	4996	1120	1725	23600	22100	362	72	249	197	5729	2317	0	0	668	443	574	0	252	0	0	2099	0	0	0	0	285	1604	0	1384	91	1903	0	18	771	0	125	25	11361	6464	0	169	0	0	33	0	63	4119	0	239	1095	0	2934	0	0	88	0	267	0	0	72	52	0	768	63	145	206	1562	345	0	586	48	17710	0	455	0	0	0	0	45	1683	0	1629	0	1450	0	0	0	86	0	235	0	0	0	584	0	489	2083	405	21	316	0	0	67	0	0	426	0	0	207	164	179	712	0	0	0	88	0	0	43	45	4914	1419	239	0	762	300	649	0	0	81	0	0	0	155	0	5494	123	449	19	40	0	18990	867	6779	0	0	0
ASV10	641	0	0	0	0	0	0	0	1889	0	2606	0	0	0	0	529	0	13741	0	0	0	2964	0	63	0	0	7261	0	748	1554	0	0	0	0	3332	5350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3515	0	0	0	0	0	965	32468	29770	29926	0	15701	19534	21591	0	13990	0	0	462	0	4334	367	116	2401	0	0	0	0	0	590	0	0	0	0	0	751	1628	0	0	0	0	0	0	21666	1223	0	2048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18674	759	11566	0	5860	28585	0	2114	0	0	0	0	0	0	13772	5544	0	0	1341	8340	14498	0	0	0	0	0	0	0	0
