Kingdom Phylum Class Order Family
1 Magnoliopsida Rosales Moraceae Ficus sp.
2 Magnoliopsida Ericales Sapotaceae Mimusops bagshawei
3 Magnoliopsida Rosales Cannabaceae Celtis africana
4 Magnoliopsida Magnoliales Annonaceae Uvariopsis congensis
5 Magnoliopsida Malvales Malvaceae Pterygota sp.
6 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
7 Magnoliopsida Rosales Moraceae Ficus congensis
8 NA NA NA NA NA
9 Magnoliopsida Rosales Moraceae Ficus congensis
10 Magnoliopsida Rosales Moraceae NA NA
11 Magnoliopsida Malvales Malvaceae NA NA
12 Magnoliopsida Solanales Convolvulaceae Lepistemon owariensis
13 Magnoliopsida NA NA NA NA
14 Magnoliopsida Ericales Sapotaceae Aningeria altissima
15 Magnoliopsida Malvales Malvaceae Pterygota sp.
16 Magnoliopsida Rosales Urticaceae Urera hypsiloides
17 Magnoliopsida Sapindales Meliaceae Trichilia splendida
18 NA NA NA NA NA
19 Magnoliopsida Rosales NA NA NA
20 NA NA NA NA NA
21 NA NA NA NA NA
22 Magnoliopsida Rosales Cannabaceae Celtis NA
23 Magnoliopsida Boraginales Cordiaceae Cordia NA
24 Magnoliopsida Rosales Moraceae Ficus sp.
25 Magnoliopsida Solanales Solanaceae Cyphomandra betacea
26 Magnoliopsida Sapindales Rutaceae Teclea nobilis
27 Magnoliopsida Rosales Moraceae Ficus sp.
28 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata
29 NA NA NA NA NA
30 Magnoliopsida Caryophyllales Phytolaccaceae Phytolacca sp.
31 Magnoliopsida Rosales Urticaceae Urera hypsiloides
32 Magnoliopsida Zingiberales Marantaceae Marantochloa leucantha
33 NA NA NA NA NA
34 NA NA NA NA NA
35 NA NA NA NA NA
36 Magnoliopsida Rosales Cannabaceae NA NA
37 Magnoliopsida Piperales Piperaceae Piper umbellatum
38 Magnoliopsida Zingiberales Musaceae Musa Acuminata
39 Magnoliopsida Piperales Piperaceae Piper capense
40 NA NA NA NA NA
41 Magnoliopsida Ericales Sapotaceae Mimusops bagshawei
42 Magnoliopsida NA NA NA NA
43 NA NA NA NA NA
44 NA NA NA NA NA
45 NA NA NA NA NA
46 Magnoliopsida Asterales Asteraceae Vernonia sp.
47 Magnoliopsida Cyperales Poaceae Pennisetum purpureum
48 Magnoliopsida NA NA NA NA
49 Magnoliopsida Laurales Monimiaceae Xymalos monospora
50 Magnoliopsida Malvales Malvaceae Dombeya mukole
51 Magnoliopsida Lamiales Acanthaceae Mimulopsis arboreus
52 NA NA NA NA NA
53 Magnoliopsida Fabales Fabaceae Acacia hockii
54 Magnoliopsida Malvales Malvaceae NA NA
55 NA NA NA NA NA
56 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
57 Magnoliopsida NA NA NA NA
58 NA NA NA NA NA
59 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata
60 Magnoliopsida Sapindales Sapindaceae Allophylus sp.
61 Magnoliopsida Lamiales Oleaceae Olea welwitschii
62 NA NA NA NA NA
63 Magnoliopsida Zingiberales Musaceae Musa Acuminata
64 NA NA NA NA NA
65 Magnoliopsida Malpighiales Euphorbiaceae Acalypha ornata
66 Magnoliopsida NA NA NA NA
67 NA NA NA NA NA
68 Magnoliopsida Malpighiales Euphorbiaceae Acalypha ornata
69 Magnoliopsida NA NA NA NA
70 Magnoliopsida Rosales Ulmaceae Chaetacme aristata
71 NA NA NA NA NA
