Kingdom Phylum Class Order Family Genus
1 Magnoliopsida Rosales Moraceae Ficus sp. NA
2 Magnoliopsida Ericales Sapotaceae NA NA NA
3 Magnoliopsida Rosales Cannabaceae Celtis africana NA
4 Magnoliopsida Magnoliales Annonaceae Monodora myristica NA
5 Magnoliopsida Malvales Malvaceae Pterygota sp. NA
6 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
7 Magnoliopsida Rosales Moraceae Ficus sp. NA
8 Magnoliopsida Sapindales Anacardiaceae Pseudospondias microcarpa NA
9 Magnoliopsida Rosales Urticaceae Ficus saussureana NA
10 Magnoliopsida Rosales Moraceae NA NA NA
11 Magnoliopsida Malvales Malvaceae Hibiscus sp. NA
12 Magnoliopsida Solanales Convolvulaceae Lepistemon owariensis NA
13 Magnoliopsida Laurales Hernandiaceae Illigera sp. NA
14 Magnoliopsida Ericales Sapotaceae Aningeria altissima NA
15 Magnoliopsida Malvales Malvaceae NA NA NA
16 Magnoliopsida Rosales Urticaceae Laportea aestuans NA
17 Magnoliopsida Sapindales Meliaceae Trichilia splendida NA
18 Magnoliopsida Sapindales Rutaceae Toddalia asiatica NA
19 Magnoliopsida Rosales Urticaceae Myrianthus arboreus NA
20 Magnoliopsida Zingiberales Zingiberaceae Aframomum sp. NA
21 NA NA NA NA NA NA
22 Magnoliopsida Rosales Cannabaceae Celtis sp. NA
23 Magnoliopsida Boraginales Cordiaceae Cordia sp. NA
24 Magnoliopsida Rosales Moraceae Bosqueia phoberos NA
25 Magnoliopsida Solanales Solanaceae Cyphomandra betacea NA
26 Magnoliopsida Sapindales Rutaceae Teclea nobilis NA
27 Magnoliopsida Rosales Moraceae NA NA NA
28 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata NA
29 NA NA NA NA NA NA
30 Magnoliopsida Caryophyllales Phytolaccaceae Phytolacca dodecandra NA
31 Magnoliopsida Rosales Urticaceae Urera hypsiloides NA
32 Magnoliopsida Zingiberales Marantaceae Marantochloa leucantha NA
33 Magnoliopsida Gentianales Apocynaceae Secamone sp. NA
34 NA NA NA NA NA NA
35 NA NA NA NA NA NA
36 Magnoliopsida Rosales Cannabaceae NA NA NA
37 Magnoliopsida Piperales Piperaceae Piper umbellatum NA
38 Magnoliopsida Zingiberales Musaceae Musa acuminata NA
39 Magnoliopsida Piperales Piperaceae Piper capense NA
40 NA NA NA NA NA NA
41 Magnoliopsida Ericales Sapotaceae NA NA NA
42 Magnoliopsida Malpighiales Salicaceae Dovyalis sp. NA
43 NA NA NA NA NA NA
44 NA NA NA NA NA NA
45 NA NA NA NA NA NA
46 Magnoliopsida Asterales Asteraceae Solanecio sp. NA
47 Magnoliopsida Cyperales Poaceae Pennisetum purpureum NA
48 Magnoliopsida Boraginales NA NA NA NA
49 Magnoliopsida Laurales Lauraceae Beilschmiedia sp. NA
50 NA NA NA NA NA NA
51 Magnoliopsida Lamiales Acanthaceae Mimulopsis arboreus NA
52 NA NA NA NA NA NA
53 Magnoliopsida Fabales Fabaceae Acacia hockii NA
54 Magnoliopsida Malvales Malvaceae Hibiscus sp. NA
55 Magnoliopsida Lamiales Acanthaceae Acanthus pubescens NA
56 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
57 Magnoliopsida Rosales Rosaceae Prunus africana NA
58 NA NA NA NA NA NA
59 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata NA
60 Magnoliopsida Sapindales Sapindaceae Allophylus sp. NA
61 Magnoliopsida Lamiales Oleaceae NA NA NA
62 NA NA NA NA NA NA
63 Magnoliopsida NA NA NA NA NA
64 NA NA NA NA NA NA
65 Magnoliopsida Malpighiales Euphorbiaceae Acalypha NA NA
66 NA NA NA NA NA NA
67 NA NA NA NA NA NA
68 Magnoliopsida Malpighiales Euphorbiaceae Acalypha ornata NA
69 Magnoliopsida NA NA NA NA NA
70 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
71 Magnoliopsida Gentianales Rubiaceae Psychotria sp. NA
72 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
73 Magnoliopsida Lamiales Lamiaceae Hoslundia opposita NA
74 Magnoliopsida Rosales Moraceae NA NA NA
75 Magnoliopsida Laurales Lauraceae Beilschmiedia sp. NA
76 NA NA NA NA NA NA
77 Magnoliopsida NA NA NA NA NA
78 NA NA NA NA NA NA
79 Magnoliopsida Rosales Moraceae NA NA NA
80 NA NA NA NA NA NA
81 Magnoliopsida NA NA NA NA NA
82 Magnoliopsida NA NA NA NA NA
83 NA NA NA NA NA NA
84 Magnoliopsida Malvales Malvaceae Pterygota sp. NA
85 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
86 Magnoliopsida Gentianales Rubiaceae Randia sp. NA
87 Magnoliopsida Celastrales Celastraceae Salacia elegans NA
88 NA NA NA NA NA NA
89 NA NA NA NA NA NA
90 Magnoliopsida Malpighiales Chrysobalanaceae Parinari excelsa NA
91 NA NA NA NA NA NA
92 Magnoliopsida Magnoliales Annonaceae Uvaria angolensis NA
93 NA NA NA NA NA NA
94 Magnoliopsida Fabales Fabaceae NA NA NA
95 NA NA NA NA NA NA
96 Magnoliopsida Piperales Piperaceae Piper guineense NA
97 NA NA NA NA NA NA
98 Magnoliopsida NA NA NA NA NA
99 NA NA NA NA NA NA
100 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
101 NA NA NA NA NA NA
102 Magnoliopsida Zingiberales Costaceae Costus afer NA
103 Magnoliopsida Malpighiales NA NA NA NA
104 Magnoliopsida Laurales NA NA NA NA
105 NA NA NA NA NA NA
106 NA NA NA NA NA NA
107 NA NA NA NA NA NA
108 Magnoliopsida Rosales Moraceae NA NA NA
109 NA NA NA NA NA NA
110 Magnoliopsida Malvales Malvaceae Hibiscus sp. NA
111 Magnoliopsida Rosales NA NA NA NA
112 Magnoliopsida NA NA NA NA NA
113 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
114 NA NA NA NA NA NA
115 NA NA NA NA NA NA
116 NA NA NA NA NA NA
117 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
118 Magnoliopsida Poales Poaceae NA NA NA
119 Magnoliopsida Rosales Moraceae Bosqueia phoberos NA
120 NA NA NA NA NA NA
121 NA NA NA NA NA NA
122 Magnoliopsida Rosales Rosaceae Rubus apetalus NA
123 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata NA
124 NA NA NA NA NA NA
125 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
126 NA NA NA NA NA NA
127 Magnoliopsida Malvales Malvaceae NA NA NA
128 Magnoliopsida NA NA NA NA NA
129 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
130 NA NA NA NA NA NA
131 NA NA NA NA NA NA
132 Magnoliopsida Fabales Fabaceae Acacia hockii NA
133 Magnoliopsida NA NA NA NA NA
134 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
135 Magnoliopsida Malpighiales Euphorbiaceae Macaranga sp. NA
136 Magnoliopsida Laurales Hernandiaceae Illigera sp._DADA2_UNSPECIFIED NA
137 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
138 NA NA NA NA NA NA
139 Magnoliopsida Rosales Moraceae NA NA NA
140 NA NA NA NA NA NA
141 Magnoliopsida Rosales Rosaceae Prunus africana NA
142 Magnoliopsida Ranunculales Menispermaceae Syrrheonema sp. NA
143 Magnoliopsida NA NA NA NA NA
144 NA NA NA NA NA NA
145 NA NA NA NA NA NA
146 NA NA NA NA NA NA
147 Magnoliopsida Geraniales Francoaceae Bersama abyssinica NA
148 Magnoliopsida Rosales NA NA NA NA
149 Magnoliopsida NA NA NA NA NA
150 Magnoliopsida Laurales Hernandiaceae Illigera sp._DADA2_UNSPECIFIED NA
151 NA NA NA NA NA NA
152 NA NA NA NA NA NA
153 NA NA NA NA NA NA
154 NA NA NA NA NA NA
155 Magnoliopsida Rosales Urticaceae Myrianthus arboreus NA
156 NA NA NA NA NA NA
157 Magnoliopsida Myrtales Myrtaceae Eucalyptus grandis NA
158 Magnoliopsida Poales Poaceae Sugarcane sp. NA
159 Magnoliopsida Fabales Fabaceae NA NA NA
160 NA NA NA NA NA NA
161 NA NA NA NA NA NA
162 Magnoliopsida Asterales Asteraceae Crassocephalum vitellinum NA
163 NA NA NA NA NA NA
164 NA NA NA NA NA NA
165 Magnoliopsida Celastrales Celastraceae Salacia elegans NA
166 NA NA NA NA NA NA
167 Magnoliopsida Celastrales Celastraceae Salacia elegans NA
168 Magnoliopsida Laurales Hernandiaceae Illigera sp._DADA2_UNSPECIFIED NA
169 NA NA NA NA NA NA
170 NA NA NA NA NA NA
171 NA NA NA NA NA NA
172 Magnoliopsida Rosales Moraceae NA NA NA
173 Magnoliopsida NA NA NA NA NA
174 Magnoliopsida NA NA NA NA NA
175 Magnoliopsida NA NA NA NA NA
176 NA NA NA NA NA NA
177 NA NA NA NA NA NA
178 Magnoliopsida Asterales Asteraceae Vernonia sp. NA
179 Magnoliopsida Rosales Cannabaceae Celtis durandii NA
180 NA NA NA NA NA NA
181 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
182 NA NA NA NA NA NA
183 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
184 Magnoliopsida NA NA NA NA NA
185 Magnoliopsida Laurales Hernandiaceae Illigera sp._DADA2_UNSPECIFIED NA
186 Magnoliopsida Fabales Fabaceae NA NA NA
187 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
188 Magnoliopsida Rosales NA NA NA NA
189 NA NA NA NA NA NA
190 Magnoliopsida NA NA NA NA NA
191 Magnoliopsida Laurales Hernandiaceae Illigera sp._DADA2_UNSPECIFIED NA
192 Magnoliopsida Rosales NA NA NA NA
193 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
194 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
195 NA NA NA NA NA NA
196 NA NA NA NA NA NA
197 NA NA NA NA NA NA
198 NA NA NA NA NA NA
199 NA NA NA NA NA NA
200 Magnoliopsida NA NA NA NA NA
201 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
202 Magnoliopsida Sapindales Rutaceae Clausena sp. NA
203 NA NA NA NA NA NA
204 Magnoliopsida Rosales Urticaceae Myrianthus arboreus NA
205 NA NA NA NA NA NA
206 NA NA NA NA NA NA
207 NA NA NA NA NA NA
208 Magnoliopsida NA NA NA NA NA
209 Magnoliopsida Rosales Moraceae NA NA NA
210 Magnoliopsida NA NA NA NA NA
211 NA NA NA NA NA NA
212 Magnoliopsida Sapindales Rutaceae Teclea nobilis NA
213 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
214 Magnoliopsida NA NA NA NA NA
