Kingdom Phylum Class Order Family Genus Species NA
1 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae Ficus sp.
2 Eukaryota Viridiplantae Streptophyta Magnoliopsida Ericales Sapotaceae NA NA
3 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Cannabaceae Celtis africana
4 Eukaryota Viridiplantae Streptophyta Magnoliopsida Magnoliales Annonaceae NA NA
5 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malvales Malvaceae Pterygota mildbraedii
6 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Ulmaceae Chaetacme aristata
7 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae Ficus spp
8 Eukaryota Viridiplantae Streptophyta Magnoliopsida Sapindales Anacardiaceae Pseudospondias microcarpa
9 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Urticaceae Ficus thoningii
10 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae Morus lactea
11 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malvales Malvaceae Hibiscus sp.
12 Eukaryota Viridiplantae Streptophyta Magnoliopsida Solanales Convolvulaceae Lepistemon owariensis
13 Eukaryota Viridiplantae Streptophyta Magnoliopsida Laurales Hernandiaceae Illigera pentaphylla
14 Eukaryota Viridiplantae Streptophyta Magnoliopsida Ericales Sapotaceae Aningeria altissima
15 Eukaryota Viridiplantae Streptophyta Magnoliopsida Malvales Malvaceae Hibiscus sp.
16 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Urticaceae Laportea aestuans
17 Eukaryota Viridiplantae Streptophyta Magnoliopsida Sapindales Meliaceae Trichilia splendida
18 Eukaryota Viridiplantae Streptophyta Magnoliopsida Sapindales Rutaceae Toddalia asiatica
19 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Urticaceae Myrianthus arboreus
20 Eukaryota Viridiplantae Streptophyta Magnoliopsida Zingiberales Zingiberaceae Aframomum spp
21 NA NA NA NA NA NA NA NA
22 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Cannabaceae Celtis sp.
23 Eukaryota Viridiplantae Streptophyta Magnoliopsida Boraginales Cordiaceae Cordia spp
24 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae Bosqueia phoberos
25 Eukaryota Viridiplantae Streptophyta Magnoliopsida Solanales Solanaceae Cyphomandra betacea
26 Eukaryota Viridiplantae Streptophyta Magnoliopsida Sapindales Rutaceae Teclea nobilis
27 Eukaryota Viridiplantae Streptophyta Magnoliopsida Rosales Moraceae NA NA
